name,atom,M0,P11
GLN,HB1,0.124534796754,5.93252378 0.0 0.0 5.93252378 0.0 5.93252378
GLN,HB3,0.124534796754,5.93252378 0.0 0.0 5.93252378 0.0 5.93252378
GLN,2HB,0.124534796754,5.93252378 0.0 0.0 5.93252378 0.0 5.93252378
GLN,CG,-0.306861177343,-4.44245772 0.0 0.0 -4.44245772 0.0 -4.44245772
GLN,O,-0.465934809288,10.0571339 0.0 0.0 10.0571339 0.0 10.0571339
GLN,HG,0.129916337697,6.61954192 0.0 0.0 6.61954192 0.0 6.61954192
GLN,HG2,0.129916337697,6.61954192 0.0 0.0 6.61954192 0.0 6.61954192
GLN,1HG,0.129916337697,6.61954192 0.0 0.0 6.61954192 0.0 6.61954192
GLN,HG1,0.129916337697,6.61954192 0.0 0.0 6.61954192 0.0 6.61954192
GLN,HG3,0.129916337697,6.61954192 0.0 0.0 6.61954192 0.0 6.61954192
GLN,2HG,0.129916337697,6.61954192 0.0 0.0 6.61954192 0.0 6.61954192
GLN,CD,0.49565748621,8.34662467 0.0 0.0 8.34662467 0.0 8.34662467
GLN,OE,-0.448497089492,7.43390677 0.0 0.0 7.43390677 0.0 7.43390677
GLN,OE1,-0.448497089492,7.43390677 0.0 0.0 7.43390677 0.0 7.43390677
GLN,NE,-0.653160955738,10.8916501 0.0 0.0 10.8916501 0.0 10.8916501
GLN,NE2,-0.653160955738,10.8916501 0.0 0.0 10.8916501 0.0 10.8916501
GLN,HE,0.317847238258,0.642751406 0.0 0.0 0.642751406 0.0 0.642751406
GLN,HE21,0.317847238258,0.642751406 0.0 0.0 0.642751406 0.0 0.642751406
GLN,1HE2,0.317847238258,0.642751406 0.0 0.0 0.642751406 0.0 0.642751406
GLN,HE22,0.317847238258,0.642751406 0.0 0.0 0.642751406 0.0 0.642751406
GLN,2HE2,0.317847238258,0.642751406 0.0 0.0 0.642751406 0.0 0.642751406
GLU,N,-0.502167158984,9.93924507 0.0 0.0 9.93924507 0.0 9.93924507
GLU,HN,0.294553272161,-0.24134889 0.0 0.0 -0.24134889 0.0 -0.24134889
GLU,H,0.294553272161,-0.24134889 0.0 0.0 -0.24134889 0.0 -0.24134889
GLU,CA,-0.0231157416356,5.68151109 0.0 0.0 5.68151109 0.0 5.68151109
GLU,HA,0.137918992461,1.4480402 0.0 0.0 1.4480402 0.0 1.4480402
GLU,CB,-0.205444614722,5.54066613 0.0 0.0 5.54066613 0.0 5.54066613
GLU,C,0.415131505981,3.85053766 0.0 0.0 3.85053766 0.0 3.85053766
GLU,HB,0.0922476054656,3.84942587 0.0 0.0 3.84942587 0.0 3.84942587
GLU,HB2,0.0922476054656,3.84942587 0.0 0.0 3.84942587 0.0 3.84942587
GLU,1HB,0.0922476054656,3.84942587 0.0 0.0 3.84942587 0.0 3.84942587
GLU,HB1,0.0922476054656,3.84942587 0.0 0.0 3.84942587 0.0 3.84942587
GLU,HB3,0.0922476054656,3.84942587 0.0 0.0 3.84942587 0.0 3.84942587
GLU,2HB,0.0922476054656,3.84942587 0.0 0.0 3.84942587 0.0 3.84942587
GLU,CG,-0.215374302666,0.55458887 0.0 0.0 0.55458887 0.0 0.55458887
GLU,O,-0.439094514343,8.72165061 0.0 0.0 8.72165061 0.0 8.72165061
GLU,HG,0.0429586191913,6.03016741 0.0 0.0 6.03016741 0.0 6.03016741
GLU,HG2,0.0429586191913,6.03016741 0.0 0.0 6.03016741 0.0 6.03016741
GLU,1HG,0.0429586191913,6.03016741 0.0 0.0 6.03016741 0.0 6.03016741
GLU,HG1,0.0429586191913,6.03016741 0.0 0.0 6.03016741 0.0 6.03016741
GLU,HG3,0.0429586191913,6.03016741 0.0 0.0 6.03016741 0.0 6.03016741
GLU,2HG,0.0429586191913,6.03016741 0.0 0.0 6.03016741 0.0 6.03016741
GLU,CD,0.756298255458,4.42364761 0.0 0.0 4.42364761 0.0 4.42364761
GLU,OE,-0.744559071512,11.43872973 0.0 0.0 11.43872973 0.0 11.43872973
GLU,OE1,-0.744559071512,11.43872973 0.0 0.0 11.43872973 0.0 11.43872973
GLU,OE2,-0.744559071512,11.43872973 0.0 0.0 11.43872973 0.0 11.43872973
GLY,N,-0.336998872948,4.98744032 0.0 0.0 4.98744032 0.0 4.98744032
GLY,HN,0.242749017829,2.80855363 0.0 0.0 2.80855363 0.0 2.80855363
GLY,H,0.242749017829,2.80855363 0.0 0.0 2.80855363 0.0 2.80855363
GLY,CA,-0.17938856382,6.85276059 0.0 0.0 6.85276059 0.0 6.85276059
GLY,C,0.558703649956,6.68458672 0.0 0.0 6.68458672 0.0 6.68458672
GLY,HA,0.103065887526,2.81092415 0.0 0.0 2.81092415 0.0 2.81092415
GLY,HA2,0.103065887526,2.81092415 0.0 0.0 2.81092415 0.0 2.81092415
GLY,1HA,0.103065887526,2.81092415 0.0 0.0 2.81092415 0.0 2.81092415
GLY,HA1,0.103065887526,2.81092415 0.0 0.0 2.81092415 0.0 2.81092415
GLY,HA3,0.103065887526,2.81092415 0.0 0.0 2.81092415 0.0 2.81092415
GLY,2HA,0.103065887526,2.81092415 0.0 0.0 2.81092415 0.0 2.81092415
GLY,O,-0.491197006069,7.41523791 0.0 0.0 7.41523791 0.0 7.41523791
HID,N,-0.359743901179,5.21124324 0.0 0.0 5.21124324 0.0 5.21124324
HSD,N,-0.359743901179,5.21124324 0.0 0.0 5.21124324 0.0 5.21124324
HISD,N,-0.359743901179,5.21124324 0.0 0.0 5.21124324 0.0 5.21124324
HISA,N,-0.359743901179,5.21124324 0.0 0.0 5.21124324 0.0 5.21124324
HID,HN,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HSD,HN,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HISD,HN,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HISA,HN,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HID,H,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HSD,H,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HISD,H,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HISA,H,0.233122823862,2.42006033 0.0 0.0 2.42006033 0.0 2.42006033
HID,CA,0.00108620862758,6.29957692 0.0 0.0 6.29957692 0.0 6.29957692
HSD,CA,0.00108620862758,6.29957692 0.0 0.0 6.29957692 0.0 6.29957692
HISD,CA,0.00108620862758,6.29957692 0.0 0.0 6.29957692 0.0 6.29957692
HISA,CA,0.00108620862758,6.29957692 0.0 0.0 6.29957692 0.0 6.29957692
HID,HA,0.102608305922,1.10832557 0.0 0.0 1.10832557 0.0 1.10832557
HSD,HA,0.102608305922,1.10832557 0.0 0.0 1.10832557 0.0 1.10832557
HISD,HA,0.102608305922,1.10832557 0.0 0.0 1.10832557 0.0 1.10832557
HISA,HA,0.102608305922,1.10832557 0.0 0.0 1.10832557 0.0 1.10832557
HID,CB,-0.279603907757,7.03787634 0.0 0.0 7.03787634 0.0 7.03787634
HSD,CB,-0.279603907757,7.03787634 0.0 0.0 7.03787634 0.0 7.03787634
HISD,CB,-0.279603907757,7.03787634 0.0 0.0 7.03787634 0.0 7.03787634
HISA,CB,-0.279603907757,7.03787634 0.0 0.0 7.03787634 0.0 7.03787634
